index,player_name,salary,age,games_played,minutes_played,field_goal_percent,three_point_percent,two_point_percent,effective_field_goal,free_throw_percent,total_rebounds,assist,steal,blocking,points
63,Jonas Valanciunas,15460675,25,77.00,1727.00,0.57,0.41,0.59,0.59,0.81,660.00,81.00,29.00,69.00,980.00
64,Tony Parker,15453126,35,55.00,1071.00,0.46,0.27,0.48,0.47,0.71,95.00,195.00,28.00,1.00,421.00
65,Timofey Mozgov,15280000,31,31.00,359.00,0.56,0.22,0.64,0.58,0.77,98.00,11.00,5.00,13.00,131.00
66,Andre Iguodala,14814815,34,64.00,1622.00,0.46,0.28,0.57,0.51,0.63,246.00,210.00,54.00,38.00,384.00
67,DeMarre Carroll,14800000,31,73.00,2180.00,0.41,0.37,0.46,0.51,0.76,479.00,147.00,59.00,30.00,983.00
68,Thaddeus Young,14796348,29,81.00,2607.00,0.49,0.32,0.53,0.52,0.60,512.00,152.00,135.00,36.00,955.00
69,Eric Bledsoe,14500000,28,49.33,1548.00,0.45,0.33,0.51,0.51,0.79,189.33,246.67,99.33,28.00,875.33
70,Ricky Rubio,14275000,27,77.00,2254.00,0.42,0.35,0.45,0.48,0.87,351.00,410.00,121.00,11.00,1008.00
71,Joe Ingles,14136364,30,82.00,2578.00,0.47,0.44,0.52,0.61,0.80,344.00,392.00,90.00,20.00,940.00
72,Gorgui Dieng,14112360,28,79.00,1333.00,0.48,0.31,0.51,0.50,0.78,360.00,71.00,45.00,39.00,470.00
73,Khris Middleton,14100000,26,82.00,2982.00,0.47,0.36,0.52,0.52,0.88,429.00,328.00,119.00,21.00,1652.00
74,Mason Plumlee,14041096,27,74.00,1439.00,0.60,0.00,0.60,0.60,0.46,400.00,142.00,49.00,81.00,524.00
75,Taj Gibson,14000000,32,82.00,2726.00,0.58,0.20,0.60,0.58,0.77,584.00,99.00,62.00,59.00,999.00
76,James Johnson,13954000,30,73.00,1943.00,0.50,0.31,0.59,0.55,0.70,358.00,280.00,70.00,51.00,788.00
77,Robin Lopez,13788500,29,64.00,1690.00,0.53,0.29,0.54,0.53,0.76,290.00,124.00,14.00,53.00,756.00
78,J.R. Smith,13760000,32,80.00,2244.00,0.40,0.38,0.45,0.52,0.70,235.00,141.00,68.00,11.00,662.00
79,Marvin Williams,13168750,31,78.00,2006.00,0.46,0.41,0.51,0.57,0.83,370.00,96.00,56.00,38.00,744.00
80,Michael Kidd-Gilchrist,13000000,24,74.00,1850.00,0.50,0.00,0.51,0.50,0.68,302.00,71.00,51.00,32.00,681.00
81,Eric Gordon,12943020,29,69.00,2154.00,0.43,0.36,0.54,0.54,0.81,170.00,154.00,44.00,27.00,1243.00
82,Kenneth Faried,12921348,28,32.00,461.00,0.51,0.00,0.52,0.51,0.71,153.00,18.00,12.00,13.00,188.00
83,Cody Zeller,12584270,25,33.00,627.00,0.55,0.67,0.54,0.55,0.72,177.00,31.00,14.00,21.00,233.00
84,Nikola Mirotic,12500000,26,36.67,996.00,0.45,0.38,0.52,0.55,0.82,270.00,53.33,29.33,26.00,572.67
85,Zach Randolph,12307692,36,59.00,1508.00,0.47,0.35,0.50,0.51,0.79,397.00,127.00,42.00,10.00,857.00
86,Nikola Vucevic,12250000,27,57.00,1683.00,0.48,0.31,0.53,0.51,0.82,523.00,191.00,56.00,62.00,939.00
87,Solomon Hill,12236535,26,12.00,187.00,0.27,0.19,0.35,0.32,0.50,36.00,22.00,7.00,1.00,29.00
88,Wilson Chandler,12016854,30,74.00,2346.00,0.45,0.36,0.50,0.52,0.77,398.00,159.00,43.00,39.00,738.00
89,Jeremy Lin,12000000,29,1.00,25.00,0.42,0.50,0.40,0.46,1.00,0.00,4.00,0.00,0.00,18.00
90,Kemba Walker,12000000,27,80.00,2736.00,0.43,0.38,0.47,0.52,0.86,248.00,444.00,91.00,24.00,1770.00
91,Derrick Favors,12000000,26,77.00,2153.00,0.56,0.22,0.60,0.57,0.65,552.00,102.00,54.00,82.00,944.00
92,Austin Rivers,11825000,25,61.00,2057.00,0.42,0.38,0.46,0.51,0.64,145.00,242.00,74.00,16.00,920.00
93,Courtney Lee,11747890,32,76.00,2310.00,0.45,0.41,0.48,0.53,0.92,224.00,180.00,80.00,17.00,913.00
94,Jordan Clarkson,11562500,25,54.00,1258.67,0.45,0.36,0.50,0.51,0.80,144.67,147.33,38.67,4.00,749.33
95,John Henson,11422536,27,76.00,1970.00,0.57,0.14,0.58,0.57,0.57,513.00,114.00,45.00,109.00,665.00
96,Dion Waiters,11000000,26,30.00,918.00,0.40,0.31,0.46,0.46,0.74,77.00,113.00,23.00,9.00,429.00
97,Amir Johnson,11000000,30,74.00,1171.00,0.54,0.31,0.57,0.56,0.61,330.00,118.00,45.00,44.00,342.00
98,Jamal Crawford,10942762,37,80.00,1653.00,0.42,0.33,0.48,0.49,0.90,99.00,185.00,40.00,9.00,822.00
99,Jamal Crawford,4328000,37,80.00,1653.00,0.42,0.33,0.48,0.49,0.90,99.00,185.00,40.00,9.00,822.00
100,Alec Burks,10845506,26,64.00,1059.00,0.41,0.33,0.45,0.47,0.86,192.00,67.00,37.00,8.00,494.00
101,Patty Mills,10714286,29,82.00,2107.00,0.41,0.37,0.47,0.52,0.89,154.00,229.00,55.00,11.00,819.00
102,Kelly Olynyk,10607169,26,76.00,1779.00,0.50,0.38,0.59,0.58,0.77,431.00,207.00,62.00,35.00,872.00
103,Terrence Ross,10500000,26,24.00,600.00,0.40,0.32,0.47,0.48,0.75,73.00,38.00,27.00,11.00,209.00
104,Bojan Bogdanovic,10500000,28,80.00,2464.00,0.47,0.40,0.53,0.57,0.87,270.00,119.00,55.00,8.00,1141.00
105,Jon Leuer,10497319,28,8.00,136.00,0.42,0.00,0.46,0.42,0.87,32.00,5.00,1.00,3.00,43.00
106,Iman Shumpert,10337079,27,14.00,276.00,0.38,0.27,0.47,0.44,0.73,41.00,17.00,9.00,4.00,62.00
107,Maurice Harkless,10162922,24,59.00,1264.00,0.50,0.42,0.55,0.58,0.71,162.00,53.00,48.00,43.00,385.00
108,Jared Dudley,10000000,32,48.00,686.00,0.39,0.36,0.45,0.51,0.77,94.00,78.00,24.00,11.00,152.00
109,Darren Collison,10000000,30,69.00,2018.00,0.50,0.47,0.51,0.57,0.88,178.00,368.00,92.00,15.00,855.00
110,Danny Green,10000000,30,70.00,1791.00,0.39,0.36,0.42,0.49,0.77,249.00,110.00,63.00,80.00,600.00
