,player_name,salary
325,Mario Chalmers,2106407.0
326,Darius Miller,2100000.0
327,Kelly Oubre,2093040.0
328,Juan Hernangomez,2076840.0
329,T.J. Leaf,2028360.0
330,Tim Frazier,2000000.0
331,Anthony Tolliver,2000000.0
332,Terry Rozier,1988520.0
333,Luke Babbitt,1974159.0
334,John Collins,1936920.0
335,Anderson Varejao,1913345.0
336,Rashad Vaughn,1889040.0
337,Tim Duncan,1881250.0
338,Wade Baldwin,1874400.0
339,Larry Sanders,1865547.0
340,Harry Giles,1859400.0
341,Sam Dekker,1794600.0
342,Terrance Ferguson,1785000.0
343,Henry Ellenson,1780800.0
344,Eric Moreland,1739333.0
345,Jerian Grant,1713840.0
346,Jarrett Allen,1713720.0
347,Mike Scott,1709538.0
348,Tyler Zeller,1709538.0
349,Quincy Acy,1709538.0
350,Malik Beasley,1700640.0
351,Mike Dunleavy,1662500.0
352,Delon Wright,1645200.0
353,OG Anunoby,1645200.0
354,Ante Zizic,1645200.0
355,Caris LeVert,1632480.0
356,Justin Anderson,1579440.0
357,Tyler Lydon,1579440.0
358,Jeff Withey,1577320.0
359,Ian Clark,1577230.0
360,Shabazz Muhammad,1577230.0
361,Willie Reed,1577230.0
362,DeAndre Liggins,1577230.0
363,DeAndre' Bembry,1567200.0
364,Joffrey Lauvergne,1524305.0
365,Jerami Grant,1524305.0
366,Johnny O'Bryant,1524305.0
367,Tyler Ennis,1524305.0
368,Julyan Stone,1524305.0
369,Sean Kilpatrick,1524305.0
370,Joe Harris,1524305.0
371,Spencer Dinwiddie,1524305.0
372,Shane Larkin,1524305.0
373,Glenn Robinson,1524305.0
374,Bobby Brown,1524305.0
375,Bobby Portis,1516320.0
376,Malachi Richardson,1504560.0
377,Arron Afflalo,1500000.0
378,Norman Powell,1471382.0
379,Josh Richardson,1471382.0
380,Rondae Hollis-Jefferson,1471382.0
381,Tyus Jones,1471382.0
382,Jarell Martin,1471382.0
383,Larry Nance,1471382.0
384,Troy Williams,1471382.0
385,Chris McCullough,1471382.0
386,Raul Neto,1471382.0
387,Pat Connaughton,1471382.0
388,Richaun Holmes,1471382.0
389,T.J. McConnell,1471382.0
390,Josh Huestis,1471382.0
391,Jordan Mickey,1471382.0
392,Montrezl Harrell,1471382.0
393,Joe Young,1471382.0
394,Kevon Looney,1471382.0
395,Nikola Jokic,1471382.0
396,Salah Mejri,1471382.0
397,Caleb Swanigan,1465920.0
398,Furkan Korkmaz,1465920.0
399,Willy Hernangomez,1435750.0
400,Kyle Kuzma,1423560.0
401,Tony Bradley,1414920.0
402,Derrick White,1404600.0
403,Josh Hart,1394520.0
404,Timothe Luwawu-Cabarrot,1386600.0
405,Kevin Martin,1360305.0
406,Brice Johnson,1331160.0
407,Pascal Siakam,1312611.0
408,Dejounte Murray,1312611.0
